Dx,SNOMEDCTCode
2nd degree av block,195042002
abnormal QRS,164951009
accelerated junctional rhythm,426664006
acute myocardial infarction,57054005
acute myocardial ischemia,413444003
anterior ischemia,426434006
anterior myocardial infarction,54329005
atrial bigeminy,251173003
atrial fibrillation and flutter,195080001
atrial hypertrophy,195126007
atrial pacing pattern,251268003
atrial tachycardia,713422000
atrioventricular junctional rhythm,29320008
av block,233917008
blocked premature atrial contraction,251170000
brady tachy syndrome,74615001
bundle branch block,6374002
cardiac dysrhythmia,698247007
chronic atrial fibrillation,426749004
chronic myocardial ischemia,413844008
complete heart block,27885002
congenital incomplete atrioventricular heart block,204384007
coronary heart disease,53741008
decreased qt interval,77867006
diffuse intraventricular block,82226007
early repolarization,428417006
fusion beats,13640000
heart failure,84114007
heart valve disorder,368009
high t-voltage,251259000
idioventricular rhythm,49260003
incomplete left bundle branch block,251120003
indeterminate cardiac axis,251200008
inferior ischaemia,425419005
inferior ST segment depression,704997005
junctional escape,426995002
junctional premature complex,251164006
junctional tachycardia,426648003
lateral ischaemia,425623009
left atrial abnormality,253352002
left atrial enlargement,67741000119109
left atrial hypertrophy,446813000
left posterior fascicular block,445211001
left ventricular hypertrophy,164873001
left ventricular strain,370365005
mobitz type i wenckebach atrioventricular block,54016002
myocardial infarction,164865005
myocardial ischemia,164861001
nonspecific st t abnormality,428750005
old myocardial infarction,164867002
paired ventricular premature complexes,251182009
paroxysmal atrial fibrillation,282825002
paroxysmal supraventricular tachycardia,67198005
paroxysmal ventricular tachycardia,425856008
r wave abnormal,164921003
rapid atrial fibrillation,314208002
right atrial abnormality,253339007
right atrial hypertrophy,446358003
right ventricular hypertrophy,89792004
s t changes,55930002
shortened pr interval,49578007
sinoatrial block,65778007
sinus node dysfunction,60423000
st depression,429622005
st elevation,164931005
st interval abnormal,164930006
supraventricular bigeminy,251168009
supraventricular tachycardia,426761007
suspect arm ecg leads reversed,251139008
transient ischemic attack,266257000
u wave abnormal,164937009
ventricular bigeminy,11157007
ventricular ectopics,164884008
ventricular escape beat,75532003
ventricular escape rhythm,81898007
ventricular fibrillation,164896001
ventricular flutter,111288001
ventricular hypertrophy,266249003
ventricular pacing pattern,251266004
ventricular pre excitation,195060002
ventricular tachycardia,164895002
ventricular trigeminy,251180001
wandering atrial pacemaker,195101003
wolff parkinson white pattern,74390002
1st degree av block,270492004
atrial fibrillation,164889003
atrial flutter,164890007
bradycardia,426627000
complete right bundle branch block,713427006
incomplete right bundle branch block,713426002
left anterior fascicular block,445118002
left axis deviation,39732003
left bundle branch block,164909002
low qrs voltages,251146004
nonspecific intraventricular conduction disorder,698252002
pacing rhythm,10370003
premature atrial contraction,284470004
premature ventricular contractions,427172004
prolonged pr interval,164947007
prolonged qt interval,111975006
qwave abnormal,164917005
right axis deviation,47665007
right bundle branch block,59118001
sinus arrhythmia,427393009
sinus bradycardia,426177001
sinus rhythm,426783006
sinus tachycardia,427084000
supraventricular premature beats,63593006
t wave abnormal,164934002
t wave inversion,59931005
ventricular premature beats,17338001
accelerated atrial escape rhythm,233892002
atrial escape beat,251187003
accelerated idioventricular rhythm,61277005
atrial rhythm,106068003
atrioventricular dissociation,50799005
atrioventricular  node reentrant tachycardia,251166008
atrioventricular reentrant tachycardia,233897008
brugada,418818005
countercolockwise rotation,251199005
clockwise or counterclockwise vectorcardiographic loop,61721007
clockwise rotation,251198002
fqrs wave,164942001
mobitz type II atrioventricular block,426183003
left ventricular high voltage,55827005
prolonged P wave,251205003
p wave change,164912004
right atrial  high voltage,67751000119106
sinus atrium to atrial wandering rhythm,17366009
sinus arrest,5609005
tall p wave,251223006
